Unique_id,Verbatim
60,"RT @CapgeminiConsul: Beginning in 2011, Capital One started to move 70% of outsourced IT development work in-house http://t.co/OnsNKbNmjB"
61,has seen his Liverpool team beaten in the Capital One Cup Quarter Final. #FM15
62,"Programme Cover: ""OTBC"" vs Crawley Town - Capital One League Cup Second Round - 26 August 2014 http://t.co/fU1SSlKYjc"
63,"Want to work at Aerotek? We're #hiring in #Provo, UT! Click for details: http://t.co/A52wYozMH3 #Job #Jobs http://t.co/9v6NjFqqFW"
64,has delighted the board of Cambridge United by winning the Capital One Cup. #FMH15
65,Five million meals were donated to the hungry thanks to Capital One's WishForOthers campaign! http://t.co/cwU711yqim http://t.co/Df6UCOBF7U
66,has delighted the board of Mansfield Town by winning the Capital One Cup. #FMH15
67,Capital one is hands down the best credit card company out there
68,@PlayStation My Capital One card is not working in the PS4 Store. It's not my card that's the problem. Please help???
69,CapitalOne help rebuild impoverished Texas town through housing and education! Way 2 be hands on! http://t.co/kDYeU6jGMx
70,RT @SocialBizIntel: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/yiTpu395U2
71,Apa harapan anda terhadap pemain yang di bawa masuk untuk season 2015/16 ini
72,1.Juara Liga/FA Cup/ Capital one... http://t.co/wvEvgWXv6X
73,Apa harapan anda terhadap pemain yang di bawa masuk untuk season 2015/16 ini
74,1.Juara Liga/FA Cup/ Capital one... http://t.co/5j7zidLOXO
75,"We're #hiring! Click to apply: Customer Service- Capital One - http://t.co/CzVG5gnKAj #CustomerService #Provo, UT #Job #Jobs"
76,@fckinboy pasti suka sm chelsea gr2 menang capital one sm bpl/?
77,has seen his Morecambe team beaten in the Capital One Cup Second Round. #FM15
78,"RT @justincannonier: @Eren_kaya_ @LukeJackson_16 @Andypandyavfc oh. fa cup 2 seasons straight, you actually think capital one cup is worth …"
79,"@Eren_kaya_ @LukeJackson_16 @Andypandyavfc oh. fa cup 2 seasons straight, you actually think capital one cup is worth popping champagne over"
80,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/oipMCMpEX2
81,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/xprwzRPhpE
82,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/Dls0GdBQDk
83,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/NlrmKJ2aw0
84,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/1R2uWl2g01
85,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/elZAGjCcSG
86,I just checked in at Capital One with #mPLACES  Download today!  http://t.co/sbgbQ1VqMh
87,@AskCapitalOne account and all of my capital one 360 accounts?
88,"Florida women place second in 2015 Capital One Cup, men fourth http://t.co/v6hfMrUK2r http://t.co/mmkWYAgtVw"
89,News - Justin Whitaker Named CoSIDA/Capital One Academic All-American http://t.co/KQXHlffYZb
90,News - Justin Whitaker Named CoSIDA/Capital One Academic All-American http://t.co/wamn2zJWIS
91,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
92,You hav... http://t.co/zKmFTarjFp #credit #mony
93,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
94,You hav... http://t.co/yvKoa07NPp #credit #mony
95,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
96,You hav... http://t.co/6HZbvXKo4e #credit #mony
97,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
98,You hav... http://t.co/CQnCq1TRCE #credit #mony
99,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for travel?
100,You hav... http://t.co/Qz7POsQy3r #credit #mony
101,tak?m? Liverpool'un Capital One Kupas? 3. Tur mücâdelesinden ma?lup ayr?ld???n? gördü. #FM15
102,"RT @portsmouthfc_n: Capital One Cup first round draw: Burnley, Hull and Queens Park Rangers all handed away ties... http://t.co/fwvp6xaoFO"
103,has seen his Liverpool team beaten in the Capital One Cup Quarter Final. #FM15
104,@pelicantpark yeah look into the capital one starter ones. They gave a noob like me a credit card back in the dizzay.
105,I'm gonna apply for capital one.
106,has seen his Blackpool team beaten in the Capital One Cup Second Round. #FM15
107,Lead Android Engineer Enterprise Mobile (San Francisco) - Stars and Stripes http://t.co/QHXKJNTPeh #sanfrancisco
108,"New #Job #Capital One AML Sr. Investigator II Full Time in #Wilmington, DE, http://t.co/WociRF7z4w"
109,"Quick question @CapitalOne , on the capital one mobile banking app. Is it possible to track to cards under the same log in. I own both cards"
110,@MCFClnfo To play Capital One games?
111,Average Credit Showdown: Barclaycard Rewards MasterCard vs. Capital One QuicksilverOne Cash Rewards - http://t.co/lQkBZDfljy
112,$MHR upgraded by Capital One Financial Corp. to equal weight. http://t.co/q8Q3nub8cK #MHR via @RatingsNetwork http://t.co/wQxRXd7fof #oil
113,"RT @portsmouthfc_n: Capital One Cup first round draw: Burnley, Hull and Queens Park Rangers all handed away ties... http://t.co/fwvp6xaoFO"
114,…
115,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/6FYDcVV4KK
116,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/9H4e0HDmox
117,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/eMG83dOuRk
118,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/5oXf6PGhuy
119,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/Z6DE4qrtAW
120,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/yiTpu395U2
121,"Capital One Cup first round draw: Burnley, Hull and Queens Park Rangers all handed away ties... http://t.co/fwvp6xaoFO"
122, #pompey
123,Capital One Cup round-up: Northampton stun Wolves to reach second round... http://t.co/71FnpplRDv
124, #dagred
125,"Capital One Cup first round draw: Burnley, Hull and Queens Park Rangers all handed away ties... http://t.co/r4cU1J02ql"
126, #dagred
127,I just checked in at Capital One with #mPLACES  Download today!  http://t.co/HX9UqfqFPI
128,has seen his Nottm Forest team beaten in the Capital One Cup First Round. #FM15
129,"I'm at Capital One Bank in Smithtown, NY https://t.co/NebWZ5EwOh"
130,??????Capital one ????????BONUS
131,??=0.75% (?????????? ??????????????)
132,??????:... http://t.co/Oy5aD1dks6
133,PSA: Justice Credit Card folks—Your card is moving from Comenity to Capital One. No payments accepted this weekend! http://t.co/UUFTRCalT1
134,Can I pay a capital one credit card at an atm? - http://t.co/IRNVuyI7wO #BUSINESS #FINANCE
135,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for… http://t.co/a3uwlCmoBv #credit
136,heard their name ring out around the stadium as fans of Southampton celebrated winning the Capital One Cup. #FMH15
137,Lead Android Engineer Enterprise Mobile (San Francisco) - Stars and Stripes http://t.co/AogiU7ECyr #sanfrancisco
138,@Emma_V2 ?????? that's Capital One Cup not in EPL
139,RT @PlanoTexasNews: Escrow Unit Manager Home Loan Servicing - Stars and Stripes http://t.co/ZL4H6gJH24  - #Plano #TX
140,Capital One Adopts “Design Thinking” to Optimize Customer Experience https://t.co/MWyQQ19XVu via @loyalty360
141,Capital One Cup final on fifa 15 Crewe Alexandra  v Sunderland
142,Escrow Unit Manager Home Loan Servicing - Stars and Stripes http://t.co/ZL4H6gJH24  - #Plano #TX
143,Venture Miles Rewards Credit Card | Capital One: How do I redeem my rewards for… http://t.co/Prr4WFeId5 #Credit
144,Escrow Unit Manager Home Loan Servicing http://t.co/NkWhFetltQ
145,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/dojN6M1ynK
146,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/9SZrKQrlvK
147,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/aIrfcQT2ZU
148,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/w4M1ofyrlN
149,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/34ZWhrFfTf
150,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/DRF1JFYH0S
151,I just checked in at Capital One with #mPLACES  Download today!  http://t.co/fyJByhoIu5
152,News - Four Named to Capital One Academic All-America Track &amp; Field/Cross Country Team http://t.co/Wgmz20EDbd
153,News - Four Named to Capital One Academic All-America Track &amp; Field/Cross Country Team http://t.co/xtPwtXcpUo
154,"Florida women place second in 2015 Capital One Cup, men fourth http://t.co/YzpBSeH4l8 http://t.co/rA7dwSkTqB"
155,#CapitalOne and #Barclaycard both have great #travel rewards #CreditCards. But which one is best? http://t.co/7xthHW2K7U
156,"£10 Adults, £8 Seniors, £4 Under-16's @crewealexfc v Preston in Capital One Cup, Wed 12 Aug. http://t.co/5pIOwULBxI"
157,3 Dimensions Of Digital Transformation At Capital One Financial Services http://t.co/2vjIovqK9l #contentloop
158,3 people followed me and one person unfollowed me // automatically checked by http://t.co/qrYAIl6tLC
159,Lead Android Engineer Enterprise Mobile (San Francisco) - Stars and Stripes http://t.co/kCrnyFzJqH #sanfrancisco
160,has seen his Newcastle team beaten in the Capital One Cup Fourth Round. #FM15
161,#RTR Congratulations to Nia Barnes for making the 2015 Capital One/CoSIDA Academic All-America Track &amp;... http://t.co/S5EPgq17eY
162,RT @infografix: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/OD7XnIw4mp
163,RT @SocialBizIntel: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/nxj7uGmy6x
164,RT @ffffeed: Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/9s…
165,"Governor Terry McAuliffe Joins Business, Community Leaders at Capital One Digital Labs in Vienna, Virginia to… http://t.co/Cq70htw8Qp"
166,FIFA 15 | Career mode | #39 | Capital One Cup Semi Final: http://t.co/PDkwUDfAWw via @YouTube
167,I liked a @YouTube video from @officialryz http://t.co/PDkwUDfAWw FIFA 15 | Career mode | #39 | Capital One Cup Semi Final
168,"is celebrating the double, having led his Arsenal team to success in the Capital One Cup. #FM15"
169,has delighted the board of Newcastle United by winning the Capital One Cup. #FMH15
170,heard their name ring out around the stadium as fans of Newcastle United celebrated winning the Capital One Cup. #FMH15
171,@LfcTheBest05 joint top scorer in England. Golden boot for capital one cup. Brace against man utd. and only cost 2mill.
172,Capital One Adopts “#Design #Thinking” to Optimize #Customer #Experience | http://t.co/IkY0Lg5pua
173,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/LipLw7FGc5
174,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/ixGhkwmwMk
175,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/w8fA1snR8r
176,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/OD7XnIw4mp
177,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/nxj7uGmy6x
178,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/9sQw94BQGr
179,#CHELSEA FC - chelsea f.c  capital one cup final programme 2015-mint condition:  £4.99 ... http://t.co/mAYnN5XVYX http://t.co/fcJQepSGSS
180,Check out this #job: #DevOps #Engineer at Capital One in #Toronto #jobs http://t.co/xKInZZCmtC
181,Not a bad last three fixtures. Capital One Cup already in the bag. 
182,Time to get the suit out. http://t.co/tcAhFfYpsi
183,I'd beg every dollar in my checking acct which isn't so much that this Capital One ATM isn't gonna be able to accept my deposit
184,You know that muh fuck got a black card in his .. And all us fuckers with bad credit got capital one .. So why u askin me ??
185,"When that capital one commercial comes on and asks me ""whats in your wallet?"" I feel tried  ?? like bitch nigga whats in yours"
186,@ArsenalsRelated they're cunts because they're celebrating there capital one cup win? I'm an arsenal fan btw
187,Lead Android Engineer Enterprise Mobile (San Francisco) - Stars and Stripes http://t.co/TBJI3pWUAU #sanfrancisco
188,COF Capital One Fncl Corp. Message Board Posts
189,http://t.co/KF7CqbigMF
190,$COF $ORMP $IRET $ZIOP #COF #stockmarket #finance
191,I just checked in at Capital One with #mPLACES  Download today!  http://t.co/ScEheVxYjh
192,has seen his Plymouth Argyle team beaten in the Capital One Cup Second Round. #FM15
193,RT @ffffeed: Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/Uk…
194,RT @FollowsTrends: Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http:/…
195,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/XWi81V83Ag
196,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/bRTefPcL6r
197,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/BL4tx0YdOV
198,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360 http://t.co/qgvsOfWeXK
199,Loyalty360 Capital One Adopts “Design Thinking” to Optimize Customer Experience Loyalty360 Once the problem is… http://t.co/UkaUpRbw5a
200,Capital One Adopts “Design Thinking” to Optimize Customer Experience - Loyalty360: Loyalty360 Capital One Adopts… http://t.co/CH1MujVkly
201,@x__FuckinnLegit capital one
202,chase bank or capital one? which one better.
203,"Capital One wants a Branch Manager II (USA) Eastern n NJ Staten Island NY in Jersey City, NJ: http://t.co/WH34qntPqk"
204,"Capital One wants a Data Analysis Manager Fraud &amp;amp; Loss Mitigation in Wilmington, DE: http://t.co/0tFWnYFyER"
205,tak?m? Nottm Forest'in Capital One Kupas? Yar? Final mücâdelesinden ma?lup ayr?ld???n? gördü. #FM15
206,RT @catterallwhite: Crewe confirm #PNEFC v #boro on Sky! http://t.co/ToRSj7q6Vd ??????????
207,My Best Day Ever: Manchester United v Sunderland Capital One ... http://t.co/5oVT60R0TJ
